epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.689154052734375,0.6924190998077393,0.5,0.001
1,0.695880901813507,0.6923129320144653,0.525,0.001
2,0.679063332080841,0.6922880411148071,0.5,0.001
3,0.6703760385513305,0.6922480225563049,0.5,0.001
4,0.6427137732505799,0.6922510504722595,0.47500000000000003,0.001
5,0.6470779061317444,0.6922377586364746,0.55,0.001
6,0.6284591674804687,0.6922552347183227,0.525,0.001
7,0.6336288213729858,0.6922610402107239,0.525,0.001
8,0.6118468284606934,0.6922132730484009,0.5499999999999999,0.001
9,0.6007894396781921,0.6920478701591491,0.525,0.001
10,0.6005234956741333,0.6918421149253845,0.525,0.001
11,0.5881052494049073,0.6917176127433777,0.525,0.001
12,0.5661492943763733,0.6918578624725342,0.55,0.001
13,0.540099811553955,0.6920785427093505,0.525,0.001
14,0.5276032865047455,0.6921980261802674,0.525,0.001
15,0.534953498840332,0.6920019149780273,0.525,0.001
16,0.507609075307846,0.6919412851333618,0.5,0.0005
17,0.49123941659927367,0.6918440699577332,0.525,0.0005
18,0.4843666911125183,0.6918575406074524,0.525,0.0005
19,0.4719182550907135,0.6919374585151672,0.525,0.0005
20,0.44443399310112,0.6920202612876892,0.5,0.0005
21,0.442513507604599,0.6924174904823304,0.5,0.0005
22,0.4459053575992584,0.6926311373710632,0.525,0.0005
23,0.39923080801963806,0.6927951097488403,0.5,0.0005
24,0.3976763844490051,0.693373954296112,0.5,0.0005
25,0.3952272951602936,0.6943103313446045,0.5,0.0005
26,0.3803433835506439,0.694887638092041,0.5,0.0005
27,0.37182623744010923,0.695083749294281,0.5,0.00025
28,0.3865725338459015,0.6954408645629883,0.5,0.00025
29,0.3468423843383789,0.6959633588790893,0.5,0.00025
30,0.3555536806583405,0.6962058186531067,0.5,0.00025
