epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.705057164033254,0.6931295752525329,0.4,0.001
1,0.68517986536026,0.6930771350860596,0.44999999999999996,0.001
2,0.6879254301389058,0.6929619550704956,0.425,0.001
3,0.6665958881378173,0.6929058194160461,0.425,0.001
4,0.6665632843971252,0.6929035305976867,0.45,0.001
5,0.6524166584014892,0.6929956674575806,0.525,0.001
6,0.6291327277819315,0.6931265711784362,0.5,0.001
7,0.633854341506958,0.6933196663856507,0.5,0.001
8,0.6252477010091145,0.6935717582702636,0.5,0.001
9,0.5987566113471985,0.6939149379730225,0.5,0.001
10,0.5873234470685323,0.6941731214523316,0.5,0.001
11,0.5907389124234518,0.6944563150405884,0.5,0.001
12,0.5637528936068217,0.6948755025863648,0.5,0.001
13,0.5504981835683187,0.6953112602233886,0.5,0.001
14,0.5559512495994567,0.6957598209381104,0.5,0.001
15,0.5276089708010355,0.6958753108978272,0.475,0.001
16,0.5399606605370839,0.6962827205657959,0.45,0.0005
17,0.5200897514820099,0.6969081401824951,0.45,0.0005
18,0.5354242920875549,0.6975320696830749,0.45,0.0005
19,0.5094481229782104,0.6982718467712402,0.45,0.0005
20,0.5081873297691345,0.6990054488182068,0.475,0.0005
21,0.4934743821620941,0.7000392079353333,0.475,0.0005
22,0.4821747859319051,0.7010792851448059,0.475,0.0005
23,0.4644196430842082,0.7025060892105103,0.5,0.0005
24,0.4344265043735504,0.7041466116905213,0.5,0.0005
25,0.4474692662556966,0.7053903579711914,0.5,0.0005
26,0.45454175273577374,0.706248426437378,0.5,0.0005
27,0.42512141664822894,0.7065974116325379,0.5,0.00025
28,0.40829696456591286,0.7070325613021851,0.5,0.00025
29,0.4469185670216878,0.7077386617660523,0.475,0.00025
30,0.44242825706799827,0.7085211753845215,0.475,0.00025
