epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.6975162014239976,0.6927583932876586,0.575,0.001
1,0.7005673381460815,0.692817497253418,0.525,0.001
2,0.6896094780008332,0.6928655982017518,0.525,0.001
3,0.6891676853684818,0.692913007736206,0.475,0.001
4,0.6915313641564185,0.6929523348808289,0.525,0.001
5,0.6863861439608726,0.6930442929267884,0.525,0.001
6,0.6705689254929038,0.6931411862373352,0.5,0.001
7,0.6692092639057576,0.6932629942893982,0.5,0.001
8,0.6592308117561981,0.6933599591255188,0.5,0.001
9,0.6619759637768529,0.6934699058532715,0.5,0.001
10,0.6462982887981319,0.6934959769248963,0.5,0.001
11,0.663808983414113,0.6935714960098267,0.5,0.0005
12,0.6480134089453882,0.6936221957206726,0.5,0.0005
13,0.6478900593869826,0.6936032891273498,0.5,0.0005
14,0.646753540559977,0.6936219573020935,0.5,0.0005
15,0.6229216992354193,0.6935806751251221,0.5,0.0005
16,0.654514991435684,0.6935183882713318,0.5,0.0005
17,0.6452809822659532,0.6935841679573059,0.5,0.0005
18,0.6572722386913139,0.69371178150177,0.5,0.0005
19,0.6239039281837079,0.693771231174469,0.5,0.0005
20,0.6328497448889148,0.6938150525093079,0.5,0.0005
21,0.6242329388105569,0.693891990184784,0.5,0.0005
22,0.6339052775326897,0.693765127658844,0.5,0.00025
23,0.632093430066309,0.6937311291694641,0.525,0.00025
24,0.6354334654928255,0.6936422109603881,0.525,0.00025
25,0.6548986985903829,0.6935482382774353,0.525,0.00025
