epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.6805768825311577,0.6923048190581493,0.5631578947368421,0.001
1,0.7092772105098826,0.6919437707998813,0.5802631578947368,0.001
2,0.6821749922448554,0.6915399569731492,0.6052631578947368,0.001
3,0.6780639733888406,0.6912202605834374,0.6052631578947368,0.001
4,0.6681390146238614,0.6909640905184623,0.6052631578947368,0.001
5,0.650479105194058,0.690765597881415,0.5802631578947368,0.001
6,0.6554320043167182,0.6905591151653192,0.5802631578947368,0.001
7,0.6406777727920397,0.6904226541519165,0.5802631578947368,0.001
8,0.6389719158147289,0.6902731427779565,0.5539473684210526,0.001
9,0.6489754440510167,0.6900893037135785,0.5539473684210526,0.001
10,0.644499870528162,0.6898796252715282,0.5539473684210526,0.001
11,0.6238750393411755,0.6895586664860065,0.5802631578947368,0.001
12,0.6595462676698127,0.6892788639435401,0.5539473684210526,0.001
13,0.6362979675816224,0.688983603929862,0.5802631578947368,0.0005
14,0.5976190883501441,0.6886279017497332,0.606578947368421,0.0005
15,0.6169931028796508,0.6881908728526189,0.606578947368421,0.0005
16,0.6032432692240824,0.6877160897621741,0.606578947368421,0.0005
17,0.6265423915027517,0.6872777602611444,0.606578947368421,0.0005
18,0.5778409263728994,0.6868872535534394,0.606578947368421,0.0005
19,0.5613376667014266,0.6862623752691807,0.606578947368421,0.0005
20,0.5581288084519648,0.6857470365671011,0.606578947368421,0.0005
21,0.5990253191078658,0.6852585260684674,0.606578947368421,0.0005
22,0.5820387311741314,0.6844852306903937,0.6328947368421052,0.0005
23,0.5685590874832288,0.683821881428743,0.6592105263157895,0.0005
24,0.5277902220202758,0.6829643723292228,0.6342105263157894,0.0005
25,0.5808589743301932,0.6819423284286108,0.6605263157894736,0.0005
26,0.5483674137993196,0.6806595096221337,0.6605263157894736,0.0005
27,0.5515914453869373,0.6788542790290637,0.6355263157894737,0.0005
28,0.5788788115028787,0.677168988264524,0.6355263157894737,0.0005
29,0.549202068189604,0.6757051012454889,0.6368421052631579,0.0005
30,0.5751388315605906,0.6742936556155865,0.6368421052631579,0.0005
31,0.5378404940124106,0.6727975041438372,0.6368421052631579,0.0005
32,0.5505849603003106,0.6709812803146167,0.6368421052631579,0.0005
33,0.540278336115643,0.6689954216663654,0.6368421052631579,0.0005
34,0.5124652575602574,0.6664629517457424,0.6368421052631579,0.0005
35,0.5396223690657489,0.6637545778201177,0.6368421052631579,0.0005
36,0.49459287234112226,0.6613654891649882,0.6368421052631579,0.00025
37,0.5112254071024667,0.6594266066184411,0.6368421052631579,0.00025
38,0.5302187341504392,0.6575756241113712,0.6368421052631579,0.00025
39,0.5150547428468687,0.6559708561652746,0.6368421052631579,0.00025
40,0.4725619433200465,0.6546617196156428,0.6368421052631579,0.00025
41,0.45910947248998996,0.6533084007409903,0.6368421052631579,0.00025
42,0.5036772795483074,0.6520518920360467,0.6368421052631579,0.00025
43,0.4879312343829501,0.6507162023813297,0.6368421052631579,0.00025
44,0.5139367369423925,0.6496671529916617,0.6368421052631579,0.00025
45,0.550260796483639,0.648661616521004,0.6368421052631579,0.00025
46,0.5015749717708182,0.6474992281351334,0.6368421052631579,0.00025
47,0.46310009708446737,0.6465118068915147,0.6368421052631579,0.000125
48,0.46807248507980753,0.6457968644606762,0.6368421052631579,0.000125
49,0.5009552353778771,0.6449751991492051,0.6368421052631579,0.000125
50,0.5080732750681649,0.6438844310931671,0.6368421052631579,0.000125
