subject_id,csp_lda,eegnet,atcnet
s01,0.7493734335839599,0.7442455242966752,0.8
s02,0.3275862068965517,0.4301948051948052,0.5883180858550316
s03,0.9249530956848032,0.899749373433584,0.949874686716792
s04,0.849624060150376,0.3779580797836376,0.6875
s05,0.7474747474747474,0.6875,0.5907928388746804
s06,0.6148148148148148,0.3377926421404682,0.4178723404255319
s07,0.4701086956521739,0.507641196013289,0.4618736383442265
s08,0.5396419437340154,0.5248078266946191,0.53125
s09,0.5989974937343359,0.4047619047619047,0.4884910485933503
s10,0.7206349206349206,0.4129979035639413,0.5807127882599581
s11,0.4791666666666667,0.4505494505494505,0.4884910485933503
s12,0.625,0.3909774436090225,0.625
s13,0.4158730158730158,0.324577861163227,0.4373401534526854
s14,0.819471308833011,0.899749373433584,0.8484848484848485
s15,0.7246376811594203,0.4882154882154882,0.602787456445993
s16,0.55,0.4320486815415821,0.5454545454545454
s17,0.5099935525467441,0.4689028651292802,0.4666666666666667
s18,0.7442455242966752,0.7234443746071653,0.5099935525467441
s19,0.4793491864831039,0.5134502923976608,0.5607843137254902
s20,0.8615384615384616,0.25,0.55
s21,0.8452380952380952,0.4355263157894736,0.544955387783116
s22,0.6731615336266499,0.2982456140350877,0.5396419437340154
s23,0.7737272155876807,0.4470046082949308,0.4505494505494505
s24,0.6698412698412699,0.3732193732193732,0.4666666666666667
s25,0.6388888888888888,0.501010101010101,0.4236453201970443
s26,0.4642857142857143,0.4320486815415821,0.4129979035639413
s27,0.4865306122448979,0.5472027972027972,0.5391941391941392
s28,0.5441595441595442,0.4320486815415821,0.5454545454545454
s30,0.6992481203007519,0.5833333333333333,0.499670836076366
s31,0.5054545454545455,0.5733333333333334,0.595959595959596
s32,0.53125,0.5238095238095238,0.5054545454545455
s33,0.5595238095238095,0.3833333333333333,0.5945945945945946
s35,0.7025016903313049,0.4357366771159875,0.5943204868154158
s36,0.700358422939068,0.6049896049896051,0.6049896049896051
s37,0.8452380952380952,0.4142292490118577,0.675
s38,0.5185185185185185,0.3653846153846153,0.4378860672614962
s39,0.6799999999999999,0.6228786926461345,0.6419437340153453
s40,0.4373401534526854,0.4666666666666667,0.4689028651292802
s41,0.9249530956848032,0.3570929419986023,0.5223130106851037
s42,0.7248280175109443,0.52,0.375
s43,1.0,0.9749843652282676,0.9749843652282676
s44,0.6419437340153453,0.3333333333333333,0.6731615336266499
s45,0.45,0.5054945054945055,0.595959595959596
s46,0.8749218261413383,0.5054945054945055,0.7748592870544091
s47,0.5899403239556692,0.3508771929824561,0.6075757575757575
s48,0.7737272155876807,0.7630019749835418,0.8749218261413383
s49,0.8484848484848485,0.5238095238095238,0.4689028651292802
s50,0.7493734335839599,0.474671669793621,0.797979797979798
s51,0.7748592870544091,0.4357366771159875,0.4472727272727272
s52,0.6698412698412699,0.3162393162393162,0.3984962406015037
