epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.7214046225828283,0.6885218143463134,0.5,0.001
1,0.7143063440042383,0.6865866899490356,0.5,0.001
2,0.7493056474613542,0.6882983088493347,0.5,0.001
3,0.6825723442710748,0.6908633947372437,0.42500000000000004,0.001
4,0.6819072440892708,0.6913384914398193,0.5,0.001
5,0.6807894922104203,0.6882117986679077,0.5,0.001
6,0.6443771519580809,0.6850369811058045,0.6000000000000001,0.001
7,0.6460392214670903,0.6845441222190857,0.625,0.001
8,0.6771961866306657,0.6813093304634095,0.625,0.001
9,0.6223331509518022,0.6781500935554504,0.625,0.001
10,0.6280803585252842,0.6752394199371338,0.625,0.001
11,0.5843334974361067,0.6721517443656921,0.625,0.001
12,0.5681371909229695,0.6740740060806274,0.625,0.001
13,0.5526100189245048,0.6798015475273133,0.6000000000000001,0.001
14,0.5275206741164712,0.6864630699157714,0.6000000000000001,0.001
15,0.5568132425556663,0.6906687498092652,0.625,0.001
16,0.4894025135440987,0.6957494974136352,0.625,0.001
17,0.4803665891414931,0.6971251964569092,0.65,0.001
18,0.4519426972926164,0.6957985401153565,0.625,0.001
19,0.4876337236716968,0.6983471870422363,0.625,0.001
20,0.4520439665858485,0.7017979502677918,0.575,0.001
21,0.46286524193627493,0.7114938616752624,0.575,0.001
22,0.427669538920667,0.7252002477645874,0.575,0.001
23,0.34927546677469207,0.7318267464637757,0.575,0.001
24,0.37960351139557463,0.7295161366462708,0.575,0.001
25,0.38191163815370127,0.7596173763275147,0.575,0.001
26,0.35524461950574604,0.7774361610412598,0.55,0.001
27,0.32703003788194734,0.7675458192825317,0.55,0.001
28,0.3153199543472098,0.7453046560287475,0.575,0.0005
29,0.30917085619533763,0.7520172357559204,0.575,0.0005
30,0.29287104759396626,0.7515147447586059,0.575,0.0005
31,0.27255373166388824,0.7565933704376221,0.575,0.0005
32,0.2075550211828296,0.7683505296707154,0.575,0.0005
33,0.27184517781774536,0.7610473155975341,0.575,0.0005
34,0.2314185555241689,0.7567447662353516,0.575,0.0005
35,0.22835152502320394,0.7604103803634643,0.575,0.0005
36,0.21633315462024272,0.7507045984268188,0.625,0.0005
37,0.208932979642844,0.7532694816589356,0.625,0.0005
38,0.21604634558453278,0.7527558088302613,0.625,0.0005
39,0.18962059952631719,0.7542319059371948,0.6,0.00025
40,0.1987192570662298,0.7661510944366455,0.575,0.00025
41,0.17120034742255172,0.7730816841125489,0.575,0.00025
42,0.16638524166676177,0.7858692407608032,0.575,0.00025
43,0.18079117228503988,0.7859907150268555,0.575,0.00025
44,0.16205594350560373,0.7914759874343872,0.575,0.00025
45,0.14615366726863285,0.7981619358062744,0.575,0.00025
46,0.20101764435026825,0.8067276477813721,0.575,0.00025
47,0.13119268479968318,0.8082320690155029,0.575,0.00025
