epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.7697818058879435,0.6867181539535523,0.55,0.0005
1,0.7064961851144037,0.69077627658844,0.525,0.0005
2,0.729681879031558,0.6904897928237915,0.65,0.0005
3,0.6766787792454246,0.6899821519851684,0.575,0.0005
4,0.715749920416279,0.689160943031311,0.625,0.0005
5,0.6487734558201638,0.6900591611862182,0.575,0.0005
6,0.6611414772121846,0.6877498745918273,0.55,0.0005
7,0.744187917529034,0.6841484665870666,0.6000000000000001,0.0005
8,0.6910070812000948,0.6796646595001221,0.625,0.0005
9,0.6800242532201174,0.6766955256462097,0.575,0.0005
10,0.621297532770814,0.6714239120483398,0.625,0.0005
11,0.695475276778726,0.6676336884498596,0.6,0.0005
12,0.704189716767864,0.6633955955505371,0.625,0.0005
13,0.65273148923361,0.6598587989807129,0.6,0.00025
14,0.6559737044222215,0.660450279712677,0.6499999999999999,0.00025
15,0.6378408204607603,0.66097412109375,0.65,0.00025
16,0.6640062206933478,0.6583988428115845,0.65,0.00025
17,0.6411645552691292,0.6576611995697021,0.65,0.00025
18,0.63784360184389,0.6581506967544556,0.675,0.00025
19,0.6658473104989829,0.6578405737876892,0.65,0.00025
20,0.5934422787498025,0.6583757400512695,0.675,0.00025
21,0.6566198363023645,0.656196141242981,0.675,0.00025
22,0.5930906013280404,0.6513544201850892,0.725,0.00025
23,0.6023588240647516,0.6491739392280579,0.725,0.00025
24,0.5880531698715787,0.6459071516990662,0.75,0.00025
25,0.6117308775917822,0.6440152287483215,0.75,0.00025
26,0.6183718963831413,0.6418820381164551,0.75,0.00025
27,0.6064357301768135,0.6400187253952027,0.75,0.00025
28,0.6281519056368274,0.6381152153015137,0.725,0.00025
29,0.5597333822931562,0.6365888833999633,0.7250000000000001,0.00025
30,0.5916946289920005,0.6346751689910889,0.7,0.00025
31,0.6036619649213903,0.6325622200965881,0.7,0.00025
32,0.6006147210337535,0.6328471779823304,0.7,0.00025
33,0.6092609808224589,0.6316009044647217,0.725,0.00025
34,0.536481827747922,0.6319471836090088,0.725,0.00025
35,0.5897052879093074,0.6315169334411621,0.725,0.000125
36,0.5578533466122731,0.631110942363739,0.7,0.000125
37,0.5252584203952501,0.6306156158447266,0.725,0.000125
38,0.5428025997987315,0.6308868765830994,0.7,0.000125
39,0.575879611387974,0.6313377618789673,0.725,0.000125
40,0.5699966409627129,0.6324009299278259,0.725,0.000125
41,0.5771517973987996,0.632928442955017,0.725,0.000125
42,0.5376531236311969,0.6333276629447937,0.725,0.000125
43,0.545851044294213,0.6322988152503968,0.7,0.000125
44,0.5524679472466477,0.6334808588027954,0.7,0.000125
45,0.5211921995427428,0.633651328086853,0.7,0.000125
46,0.5899928472623104,0.6340989947319031,0.7,6.25e-05
47,0.5861104686721033,0.6332241296768188,0.7,6.25e-05
48,0.6112360127833711,0.6337876558303833,0.7,6.25e-05
49,0.5616980470529124,0.6341319441795349,0.7,6.25e-05
50,0.5160867216206398,0.6346672058105469,0.675,6.25e-05
51,0.5407850667208183,0.6348856210708618,0.675,6.25e-05
52,0.5506486201486668,0.6349009990692138,0.675,6.25e-05
53,0.6302054474333755,0.6349579811096191,0.675,6.25e-05
54,0.571517676866355,0.6350804567337036,0.7,6.25e-05
