epoch,train_loss,val_loss,val_balanced_accuracy,lr
0,0.7867116968510515,0.6802507419335214,0.6444444444444444,0.001
1,0.7059455119957359,0.6816550869690744,0.5666666666666667,0.001
2,0.7526379965119443,0.6866052025242856,0.5694444444444444,0.001
3,0.7028461967484426,0.69399430877284,0.5666666666666667,0.001
4,0.7099247675831035,0.6992798008416828,0.5611111111111111,0.001
5,0.670932239395077,0.703611737803409,0.5611111111111111,0.001
6,0.6712443333561138,0.7034922900952791,0.4916666666666667,0.001
7,0.6393648860818248,0.7024471916650471,0.4666666666666667,0.001
8,0.6416317567986957,0.702948482413041,0.4722222222222222,0.001
9,0.6580480518987624,0.7054419799854881,0.5222222222222221,0.001
10,0.6334565877914429,0.711575730850822,0.49722222222222223,0.001
11,0.6270917421680385,0.7187703816514266,0.5,0.0005
12,0.6011049070600736,0.720562385885339,0.5,0.0005
13,0.5842398021180751,0.7212083245578566,0.5,0.0005
14,0.6041630324670824,0.7229165905400327,0.5,0.0005
15,0.5929750709210412,0.7223199072637057,0.5,0.0005
16,0.6198397359605563,0.7245873902973375,0.49722222222222223,0.0005
17,0.5831854363619271,0.7322023636416385,0.4916666666666667,0.0005
18,0.5464538487337404,0.7374724306558308,0.5166666666666666,0.0005
19,0.5647895033076659,0.7437994072311803,0.5194444444444445,0.0005
20,0.6027825404021699,0.7453256531765586,0.49722222222222223,0.0005
21,0.5673372543464272,0.7499017025295057,0.49722222222222223,0.0005
22,0.5670155337301351,0.7598112507870323,0.49722222222222223,0.00025
23,0.5358743197837118,0.7646676333327043,0.475,0.00025
24,0.5137232132887436,0.767178337824972,0.475,0.00025
25,0.5435121059417725,0.7717712019619188,0.475,0.00025
26,0.5005502781625522,0.7740302085876465,0.475,0.00025
27,0.5416431285567203,0.7761492258624026,0.45,0.00025
28,0.5209481211031898,0.7761294433945104,0.475,0.00025
29,0.5380671322345734,0.7800930895303425,0.5,0.00025
30,0.5119923858319299,0.782878107146213,0.475,0.00025
